iteration,train_loss,val_loss,clustering_loss,val_clustering_loss,reconstruction_loss,val_reconstruction_loss,train_acc,val_acc,train_nmi,val_nmi,train_ari,val_ari
110,0.008399272337555885,0.009232847951352596,5.1636779971886426e-05,5.5834905651863664e-05,0.00834763515740633,0.009177013300359249,0.3595,0.37791,0.0,0.0,0.0,0.0
111,0.00902861263602972,0.009758329018950462,4.691568392445333e-05,6.56041011097841e-05,0.008981697261333466,0.009692724794149399,0.3595,0.37791,0.0,0.0,0.0,0.0
112,0.008506794460117817,0.00868422631174326,5.8547462685965e-05,7.11949760443531e-05,0.008448246866464615,0.00861303135752678,0.3595,0.37791,0.0,0.0,0.0,0.0
113,0.009321876801550388,0.008152793161571026,5.3369218221632764e-05,7.370607636403292e-05,0.009268507361412048,0.008079087361693382,0.3595,0.37791,0.0,0.0,0.0,0.0
114,0.009824850596487522,0.009186403825879097,5.3041905630379915e-05,6.409315392374992e-05,0.009771808981895447,0.009122311137616634,0.3595,0.37791,0.0,0.0,0.0,0.0
115,0.008188258856534958,0.008339916355907917,6.428502820199355e-05,6.832854705862701e-05,0.00812397338449955,0.008271588012576103,0.3595,0.37791,0.0,0.0,0.0,0.0
116,0.008571209385991096,0.009428407065570354,4.1409741243114695e-05,4.850438563153148e-05,0.008529799990355968,0.009379902854561806,0.3595,0.37791,0.0,0.0,0.0,0.0
117,0.00845357682555914,0.008318924345076084,5.1046969019807875e-05,9.427574696019292e-05,0.00840253010392189,0.008224648423492908,0.3595,0.37791,0.0,0.0,0.0,0.0
118,0.010058607906103134,0.007691466249525547,7.58822716306895e-05,5.714819417335093e-05,0.009982725605368614,0.007634317968040705,0.3595,0.37791,0.0,0.0,0.0,0.0
119,0.008747128769755363,0.008559990674257278,6.197474431246519e-05,5.6549357395851985e-05,0.008685153909027576,0.008503441698849201,0.3595,0.37791,0.0,0.0,0.0,0.0
120,0.008367965929210186,0.008041772991418839,4.4306529161985964e-05,6.435703107854351e-05,0.00832365918904543,0.007977415807545185,0.3595,0.37791,0.0,0.0,0.0,0.0
121,0.00871006678789854,0.00909269880503416,6.574262079084292e-05,6.0436657804530114e-05,0.00864432379603386,0.009032262489199638,0.3595,0.37791,0.0,0.0,0.0,0.0
122,0.009697386994957924,0.009623815305531025,7.275266398210078e-05,8.053630881477147e-05,0.009624633938074112,0.009543279185891151,0.3595,0.37791,0.0,0.0,0.0,0.0
123,0.008343196474015713,0.009034245274960995,6.416574615286663e-05,5.929989129072055e-05,0.00827903114259243,0.008974945172667503,0.3595,0.37791,0.0,0.0,0.0,0.0
124,0.00886423047631979,0.008365650661289692,5.926994344918057e-05,7.003275823080912e-05,0.008804960176348686,0.008295617997646332,0.3595,0.37791,0.0,0.0,0.0,0.0
125,0.009197263047099113,0.007849499583244324,4.6631750592496246e-05,5.416793283075094e-05,0.009150631725788116,0.007795331999659538,0.3595,0.37791,0.0,0.0,0.0,0.0
126,0.008187771774828434,0.008101013489067554,4.8565481847617775e-05,6.943718472030014e-05,0.00813920609652996,0.008031575940549374,0.3595,0.37791,0.0,0.0,0.0,0.0
127,0.008480526506900787,0.00822493340820074,5.8371508202981204e-05,4.323713437770493e-05,0.008422154933214188,0.008181695826351643,0.3595,0.37791,0.0,0.0,0.0,0.0
